Time,ColorTemp, Lux, R, G, B, C
1608194453,5822,1342,2886,3001,3357,9843
1608194473,5824,1341,2886,3001,3358,9843
1608194494,5824,1341,2886,3001,3358,9843
1608194515,5822,1342,2886,3001,3357,9843
1608194536,5824,1343,2886,3002,3358,9844
1608194556,5824,1343,2886,3002,3358,9844
1608194577,5824,1343,2886,3002,3358,9844
1608194598,5825,1343,2885,3002,3358,9844
1608194618,5825,1343,2885,3002,3358,9843
1608194639,5825,1343,2885,3002,3358,9844
1608194660,5825,1343,2885,3002,3358,9845
1608194680,5825,1343,2885,3002,3358,9844
1608194701,5826,1344,2885,3003,3359,9845
1608194722,5826,1344,2885,3003,3359,9845
1608194743,5826,1344,2885,3003,3359,9846
1608194763,5828,1345,2884,3003,3359,9847
1608194784,5828,1345,2884,3003,3359,9846
1608194805,5828,1345,2884,3003,3359,9847
1608194825,5829,1345,2884,3004,3360,9847
1608194846,5829,1344,2884,3003,3360,9847
1608194867,5829,1345,2884,3004,3360,9848
1608194888,5829,1345,2884,3004,3360,9848
1608194908,5829,1345,2884,3004,3360,9848
1608194929,5829,1345,2884,3004,3360,9848
1608194950,5831,1346,2883,3004,3360,9848
1608194970,5831,1346,2883,3004,3360,9849
1608194991,5831,1346,2883,3004,3360,9848
1608195012,5831,1346,2883,3004,3360,9848
1608195032,5831,1346,2883,3004,3360,9848
1608195053,5832,1347,2883,3005,3361,9849
1608195074,5832,1347,2883,3005,3361,9849
1608195095,5832,1347,2883,3005,3361,9849
1608195115,5834,1347,2882,3005,3361,9850
1608195136,5834,1347,2882,3005,3361,9851
1608195157,5834,1347,2882,3005,3361,9851
1608195177,5834,1347,2882,3005,3361,9851
1608195198,5835,1348,2882,3006,3362,9851
1608195219,5835,1348,2882,3006,3362,9852
1608195240,5835,1348,2882,3006,3362,9852
1608195260,5835,1348,2882,3006,3362,9852
1608195281,5835,1348,2882,3006,3362,9852
1608195302,5837,1348,2881,3006,3362,9852
1608195322,5837,1348,2881,3006,3362,9852
1608195343,5837,1348,2881,3006,3362,9853
1608195364,5838,1349,2881,3007,3363,9854
1608195384,5838,1349,2881,3007,3363,9854
1608195405,5837,1350,2881,3007,3362,9853
1608195426,5838,1349,2881,3007,3363,9854
1608195447,5838,1349,2881,3007,3363,9854
1608195467,5838,1349,2881,3007,3363,9854
1608195488,5838,1349,2881,3007,3363,9854
1608195509,5839,1349,2880,3007,3363,9854
1608195529,5841,1350,2880,3008,3364,9854
1608195550,5841,1350,2880,3008,3364,9856
1608195571,5839,1351,2880,3008,3363,9854
1608195591,5841,1350,2880,3008,3364,9855
1608195612,5841,1350,2880,3008,3364,9855
1608195633,5841,1350,2880,3008,3364,9855
1608195654,5842,1350,2879,3008,3364,9855
1608195674,5841,1350,2880,3008,3364,9856
1608195695,5842,1352,2879,3009,3364,9856
1608195716,5842,1352,2879,3009,3364,9856
1608195736,5844,1351,2879,3009,3365,9857
1608195757,5842,1352,2879,3009,3364,9857
1608195778,5842,1352,2879,3009,3364,9856
1608195799,5844,1351,2879,3009,3365,9857
1608195819,5844,1351,2879,3009,3365,9857
1608195840,5844,1353,2879,3010,3365,9858
1608195861,5844,1353,2879,3010,3365,9859
1608195881,5844,1353,2879,3010,3365,9859
1608195902,5845,1353,2878,3010,3365,9859
1608195923,5847,1352,2878,3010,3366,9859
1608195943,5845,1353,2878,3010,3365,9858
1608195964,5847,1352,2878,3010,3366,9859
1608195985,5847,1352,2878,3010,3366,9860
1608196006,5848,1353,2877,3010,3366,9859
1608196026,5848,1354,2877,3011,3366,9859
1608196047,5848,1353,2877,3010,3366,9859
1608196068,5848,1354,2877,3011,3366,9859
1608196088,5849,1354,2877,3011,3367,9861
1608196109,5849,1354,2877,3011,3367,9861
1608196130,5849,1354,2877,3011,3367,9861
1608196150,5849,1354,2877,3011,3367,9861
1608196171,5849,1355,2877,3012,3367,9861
1608196192,5849,1355,2877,3012,3367,9861
1608196213,5849,1355,2877,3012,3367,9862
1608196233,5851,1355,2876,3012,3367,9862
1608196254,5851,1355,2876,3012,3367,9861
1608196275,5851,1355,2876,3012,3367,9862
1608196295,5851,1355,2876,3012,3367,9862
1608196316,5852,1355,2876,3012,3368,9863
1608196337,5851,1355,2876,3012,3367,9862
1608196357,5852,1356,2876,3013,3368,9863
1608196378,5852,1356,2876,3013,3368,9862
1608196399,5853,1356,2875,3012,3367,9861
1608196420,5853,1356,2875,3012,3367,9862
1608196440,5854,1357,2875,3013,3368,9863
1608196461,5854,1357,2875,3013,3368,9863
1608196482,5854,1357,2875,3013,3368,9863
1608196502,5854,1357,2875,3013,3368,9864
1608196523,5854,1357,2875,3013,3368,9864
1608196544,5854,1358,2875,3014,3368,9863
1608196565,5857,1358,2874,3014,3369,9864
1608196585,5855,1359,2874,3014,3368,9864
1608196606,5857,1358,2874,3014,3369,9864
1608196627,5855,1358,2875,3014,3369,9865
1608196647,5857,1358,2874,3014,3369,9864
1608196668,5857,1358,2874,3014,3369,9865
1608196689,5857,1358,2874,3014,3369,9864
1608196709,5857,1359,2874,3015,3369,9865
1608196730,5857,1358,2874,3014,3369,9865
1608196751,5857,1359,2874,3015,3369,9866
1608196772,5858,1360,2873,3015,3369,9865
1608196792,5858,1359,2874,3015,3370,9866
1608196813,5860,1359,2873,3015,3370,9867
1608196834,5860,1359,2873,3015,3370,9867
1608196854,5860,1359,2873,3015,3370,9867
1608196875,5860,1359,2873,3015,3370,9867
1608196896,5860,1361,2873,3016,3370,9867
1608196916,5860,1361,2873,3016,3370,9867
1608196937,5860,1361,2873,3016,3370,9867
1608196958,5860,1361,2873,3016,3370,9868
1608196979,5861,1360,2873,3016,3371,9868
1608196999,5861,1361,2872,3016,3370,9868
1608197020,5862,1360,2872,3016,3371,9868
1608197041,5862,1360,2872,3016,3371,9868
1608197061,5862,1360,2872,3016,3371,9867
